customer_id,signup_date,city,acquisition_channel
CUST000282,12/6/2025,Hyderabad,Referral
CUST002184,12/6/2025,Bengaluru,Social
CUST003691,12/6/2025,Bengaluru,Organic
CUST004329,12/6/2025,Kolkata,Referral
CUST006020,12/6/2025,Ahmedabad,Paid
CUST009929,12/6/2025,Ahmedabad,Referral
CUST010103,12/6/2025,Delhi,Referral
CUST011513,12/6/2025,Bengaluru,Referral
CUST017059,12/6/2025,Bengaluru,Paid
CUST019271,12/6/2025,Delhi,Organic
CUST019283,12/6/2025,Pune,Organic
CUST022760,12/6/2025,Bengaluru,Paid
CUST026399,12/6/2025,Bengaluru,Paid
CUST029040,12/6/2025,Bengaluru,Organic
CUST030925,12/6/2025,Ahmedabad,Organic
CUST031990,12/6/2025,Bengaluru,Social
CUST035851,12/6/2025,Mumbai,Organic
CUST037208,12/6/2025,Kolkata,Organic
CUST038440,12/6/2025,Mumbai,Paid
CUST040855,12/6/2025,Bengaluru,Social
CUST044479,12/6/2025,Mumbai,Organic
CUST044836,12/6/2025,Chennai,Organic
CUST044971,12/6/2025,Pune,Paid
CUST054454,12/6/2025,Bengaluru,Social
CUST054885,12/6/2025,Bengaluru,Social
CUST055610,12/6/2025,Mumbai,Organic
CUST056488,12/6/2025,Chennai,Paid
CUST056606,12/6/2025,Bengaluru,Organic
CUST056820,12/6/2025,Delhi,Paid
CUST057793,12/6/2025,Mumbai,Referral
CUST057814,12/6/2025,Kolkata,Social
CUST058909,12/6/2025,Bengaluru,Social
CUST059157,12/6/2025,Chennai,Social
CUST059692,12/6/2025,Chennai,Organic
CUST061358,12/6/2025,Bengaluru,Paid
CUST061688,12/6/2025,Bengaluru,Organic
CUST061989,12/6/2025,Delhi,Paid
CUST064709,12/6/2025,Delhi,Paid
CUST066133,12/6/2025,Chennai,Organic
CUST067750,12/6/2025,Bengaluru,Social
CUST072069,12/6/2025,Ahmedabad,Organic
CUST072382,12/6/2025,Ahmedabad,Paid
CUST073870,12/6/2025,Pune,Organic
CUST075701,12/6/2025,Delhi,Organic
CUST076446,12/6/2025,Hyderabad,Paid
CUST079860,12/6/2025,Mumbai,Organic
CUST080066,12/6/2025,Ahmedabad,Organic
CUST081554,12/6/2025,Hyderabad,Social
CUST082157,12/6/2025,Chennai,Paid
CUST083523,12/6/2025,Mumbai,Referral
CUST084579,12/6/2025,Chennai,Paid
CUST085873,12/6/2025,Mumbai,Paid
CUST085915,12/6/2025,Hyderabad,Social
CUST090489,12/6/2025,Bengaluru,Organic
CUST090492,12/6/2025,Bengaluru,Paid
CUST091375,12/6/2025,Hyderabad,Paid
CUST092904,12/6/2025,Pune,Paid
CUST093815,12/6/2025,Mumbai,Organic
CUST094309,12/6/2025,Pune,Paid
CUST097320,12/6/2025,Kolkata,Organic
CUST098439,12/6/2025,Bengaluru,Paid
CUST099453,12/6/2025,Mumbai,Paid
CUST100186,12/6/2025,Bengaluru,Paid
CUST101605,12/6/2025,Hyderabad,Paid
CUST102085,12/6/2025,Bengaluru,Referral
CUST104536,12/6/2025,Pune,Referral
CUST104755,12/6/2025,Pune,Paid
CUST106445,12/6/2025,Bengaluru,Paid
CUST107625,12/6/2025,Bengaluru,Paid
CUST109061,12/6/2025,Hyderabad,Social
CUST110547,12/6/2025,Ahmedabad,Organic
CUST113605,12/6/2025,Ahmedabad,Organic
CUST114643,12/6/2025,Delhi,Organic
CUST115542,12/6/2025,Bengaluru,Paid
CUST117396,12/6/2025,Chennai,Paid
CUST117578,12/6/2025,Bengaluru,Paid
CUST120431,12/6/2025,Bengaluru,Referral
CUST120639,12/6/2025,Hyderabad,Social
CUST121315,12/6/2025,Kolkata,Paid
CUST121595,12/6/2025,Bengaluru,Organic
CUST121763,12/6/2025,Kolkata,Organic
CUST121873,12/6/2025,Bengaluru,Referral
CUST122015,12/6/2025,Hyderabad,Organic
CUST123546,12/6/2025,Bengaluru,Paid
CUST124681,12/6/2025,Pune,Paid
CUST125495,12/6/2025,Bengaluru,Referral
CUST132027,12/6/2025,Mumbai,Referral
CUST133833,12/6/2025,Bengaluru,Organic
CUST134975,12/6/2025,Delhi,Referral
CUST135780,12/6/2025,Bengaluru,Paid
CUST136147,12/6/2025,Mumbai,Paid
CUST136227,12/6/2025,Bengaluru,Paid
CUST136695,12/6/2025,Mumbai,Organic
CUST136767,12/6/2025,Pune,Paid
CUST137280,12/6/2025,Delhi,Organic
CUST138318,12/6/2025,Hyderabad,Paid
CUST139065,12/6/2025,Bengaluru,Social
CUST141125,12/6/2025,Mumbai,Organic
CUST143126,12/6/2025,Delhi,Organic
CUST143218,12/6/2025,Mumbai,Paid
CUST143655,12/6/2025,Hyderabad,Social
CUST143881,12/6/2025,Delhi,Organic
CUST146182,12/6/2025,Mumbai,Social
CUST147070,12/6/2025,Chennai,Organic
CUST147230,12/6/2025,Kolkata,Paid
CUST147680,12/6/2025,Delhi,Paid
CUST148312,12/6/2025,Mumbai,Paid
CUST149513,12/6/2025,Bengaluru,Referral
CUST149600,12/6/2025,Bengaluru,Organic
CUST150499,12/6/2025,Hyderabad,Organic
CUST151808,12/6/2025,Mumbai,Referral
CUST152981,12/6/2025,Delhi,Organic
CUST153576,12/6/2025,Chennai,Paid
CUST155677,12/6/2025,Chennai,Paid
CUST160388,12/6/2025,Chennai,Paid
CUST161244,12/6/2025,Hyderabad,Social
CUST163698,12/6/2025,Bengaluru,Paid
CUST164635,12/6/2025,Kolkata,Paid
CUST164723,12/6/2025,Bengaluru,Organic
CUST165018,12/6/2025,Chennai,Organic
CUST166930,12/6/2025,Bengaluru,Organic
CUST167994,12/6/2025,Chennai,Organic
CUST168123,12/6/2025,Mumbai,Paid
CUST168317,12/6/2025,Mumbai,Paid
CUST168581,12/6/2025,Ahmedabad,Referral
CUST169906,12/6/2025,Hyderabad,Paid
CUST171360,12/6/2025,Bengaluru,Paid
CUST171989,12/6/2025,Delhi,Organic
CUST172894,12/6/2025,Chennai,Referral
CUST174203,12/6/2025,Kolkata,Paid
CUST174739,12/6/2025,Chennai,Referral
CUST177888,12/6/2025,Kolkata,Social
CUST182217,12/6/2025,Bengaluru,Social
CUST188749,12/6/2025,Mumbai,Paid
CUST190816,12/6/2025,Bengaluru,Paid
CUST191474,12/6/2025,Bengaluru,Paid
CUST195163,12/6/2025,Delhi,Paid
CUST195602,12/6/2025,Bengaluru,Paid
